timestamp,sport,game_date,player,stat,line,opponent,risk_type,recommendation,score,confidence,result,actual_stat,reasons
2026-06-13 01:42:50,NBA,2026-06-13,Devin Vassell,3PM,3.5,NYK,DEMON,PASS,,LOW,PENDING,,
2026-06-13 01:42:50,NBA,2026-06-13,Devin Vassell,Rebs+Asts,7.5,NYK,NORMAL,STRONG LESS,,HIGH,LOSS,9.0,
2026-06-13 01:42:50,NBA,2026-06-13,Jalen Brunson,PRA,37.5,SAS,NORMAL,STRONG LESS,,HIGH,LOSS,51.0,
2026-06-13 01:42:50,NBA,2026-06-13,Jalen Brunson,PTS,27.5,SAS,NORMAL,STRONG LESS,,HIGH,LOSS,45.0,
2026-06-13 01:42:50,NBA,2026-06-13,Jalen Brunson,PTS,29.5,SAS,DEMON,PASS,,LOW,PENDING,,
2026-06-13 01:42:50,NBA,2026-06-13,Jalen Brunson,PTS,30.5,SAS,DEMON,PASS,,LOW,PENDING,,
2026-06-13 01:42:50,NBA,2026-06-13,Stephon Castle,AST,8.5,NYK,DEMON,PASS,,LOW,PENDING,,
2026-06-13 01:42:50,NBA,2026-06-13,Jalen Brunson,PRA,39.5,SAS,DEMON,PASS,,LOW,PENDING,,
2026-06-13 01:42:50,NBA,2026-06-13,Devin Vassell,3PM,4.5,NYK,DEMON,PASS,,LOW,PENDING,,
2026-06-13 01:42:50,NBA,2026-06-13,Devin Vassell,Rebs+Asts,8.5,NYK,DEMON,PASS,,LOW,PENDING,,
2026-06-13 01:42:50,NBA,2026-06-13,Stephon Castle,AST,9.5,NYK,DEMON,PASS,,LOW,PENDING,,
2026-06-13 01:42:50,NBA,2026-06-13,Jalen Brunson,PTS,34.5,SAS,DEMON,PASS,,LOW,PENDING,,
2026-06-13 01:42:50,NBA,2026-06-13,Stephon Castle,AST,10.5,NYK,DEMON,PASS,,LOW,PENDING,,
2026-06-13 01:42:50,NBA,2026-06-13,Jalen Brunson,PRA,44.5,SAS,DEMON,PASS,,LOW,PENDING,,
2026-06-13 01:42:50,NBA,2026-06-13,Jalen Brunson,PRA,49.5,SAS,DEMON,PASS,,LOW,PENDING,,
2026-06-13 01:42:50,NBA,2026-06-13,Devin Vassell,Rebs+Asts,9.5,NYK,DEMON,PASS,,LOW,PENDING,,
2026-06-13 01:42:50,NBA,2026-06-13,Jalen Brunson,PTS,39.5,SAS,DEMON,PASS,,LOW,PENDING,,
